infrared_value,mq2_value,humidity,temperature,label
1,628,69.0,29.8,1
1,618,69.0,29.8,1
1,622,69.0,29.8,1
1,626,69.0,29.8,1
1,656,69.0,29.8,2
1,685,69.0,29.8,2
1,680,69.0,29.8,2
1,677,69.0,29.8,2
1,684,69.0,29.8,2
1,726,69.0,29.8,2
1,732,69.0,29.8,2
1,723,69.0,29.8,2
1,707,69.0,29.8,2
1,689,69.0,29.8,2
1,678,69.0,29.8,2
1,665,69.0,29.8,2
1,653,68.0,29.8,2
1,640,68.0,29.8,2
1,630,68.0,29.8,2
1,620,68.0,29.8,2
1,611,68.0,29.8,2
1,603,68.0,29.8,2
1,596,68.0,29.8,2
1,593,68.0,29.8,2
1,588,68.0,29.8,2
1,581,68.0,29.8,2
1,576,68.0,29.8,2
1,570,68.0,29.8,2
1,565,68.0,29.8,2
1,560,68.0,29.8,2
1,557,68.0,29.8,2
1,551,68.0,29.8,2
1,550,68.0,29.8,2
1,552,68.0,29.8,2
1,553,68.0,29.8,2
1,550,68.0,29.8,2
0,534,-1.0,-1.0,2
0,543,-1.0,-1.0,2
0,532,-1.0,-1.0,2
0,527,-1.0,-1.0,2
0,525,69.0,29.8,2
1,520,69.0,29.8,2
1,519,69.0,29.8,2
0,503,69.0,29.8,2
1,509,68.0,29.8,2
1,501,68.0,29.8,2
1,495,68.0,29.8,2
1,493,68.0,29.8,2
1,511,68.0,29.8,2
1,513,68.0,29.8,2
1,494,68.0,29.8,2
1,491,68.0,29.8,2
1,487,68.0,29.8,2
0,485,68.0,29.8,2
1,485,68.0,29.8,2
1,481,68.0,29.8,2
1,479,68.0,29.8,2
1,485,68.0,29.8,2
1,488,68.0,29.8,2
1,476,68.0,29.8,2
1,469,68.0,29.8,2
1,465,68.0,29.8,2
1,460,68.0,29.8,2
1,457,68.0,29.8,2
1,454,68.0,29.8,2
1,451,68.0,29.8,2
1,447,68.0,29.8,2
1,444,68.0,29.8,2
1,469,68.0,29.3,2
1,490,68.0,29.3,2
1,496,68.0,29.3,2
1,499,68.0,29.3,2
1,493,68.0,29.3,2
1,486,68.0,29.3,2
1,482,68.0,29.3,2
1,481,68.0,29.3,2
1,489,68.0,29.3,2
0,483,68.0,29.3,2
0,503,68.0,29.3,2
0,581,68.0,29.3,2
0,671,68.0,29.3,2
0,711,68.0,29.3,2
0,689,68.0,29.3,2
0,676,68.0,29.3,2
0,673,68.0,29.3,2
0,666,68.0,29.3,2
0,645,68.0,29.3,2
0,636,68.0,29.3,2
0,652,68.0,29.8,2
0,694,68.0,29.8,2
0,710,68.0,29.8,2
0,708,68.0,29.8,2
0,687,67.0,30.2,2
0,689,67.0,30.2,2
0,690,67.0,30.2,2
0,676,67.0,30.2,2
0,658,68.0,30.8,2
0,657,68.0,30.8,2
0,648,68.0,30.8,2
0,642,68.0,30.8,2
0,698,69.0,31.3,2
0,710,69.0,31.3,2
0,722,69.0,31.3,2
0,792,69.0,31.3,2
0,829,70.0,32.3,2
0,815,70.0,32.3,2
0,801,70.0,32.3,2
0,772,70.0,32.3,2
0,763,70.0,33.3,2
0,748,70.0,33.3,2
0,740,70.0,33.3,2
0,731,70.0,33.3,2
0,698,78.0,34.7,2
0,678,78.0,34.7,2
0,736,78.0,34.7,2
0,801,78.0,34.7,2
0,778,82.0,37.2,2
0,747,82.0,37.2,2
0,723,82.0,37.2,2
0,697,82.0,37.2,2
